Card Name,Quantity
Bog Palace,1
Granary Weevil,1
InstiGator,1
InvestiGator,1
Staff of Frailty,1
SubjuGator,1
Synchronization,1
Water Logged,1
Bayou Fountain,2
FumiGator,2
IrriGator,2
NaviGator,2
TailGator,2
Bomb Pop,1
Brigadier Banana Split,1
Chocolate TaCody,1
Coordination,1
Four Star Fudge,1
Ice Base,1
Ice Cream Captain,1
Mocha Launcher,1
Slushie Salvo,1
Smooth Eli,1
Ice Cream Sammy,2
Patriot Popsicle,2
Softie Recruit,2
Clone,1
Communication,1
Firm Handshake,1
Icy Infiltrator,1
Jinx,1
Matchy Matchy,1
